  1  1    13.25692   -12.80428    13.21333   -12.55384    13.09808   -12.56627    13.14118   -12.81721
  1  2    13.14181   -12.82186    13.09793   -12.56660    12.98298   -12.57927    13.02633   -12.83490
  1  3    13.02604   -12.83353    12.98324   -12.58084    12.86746   -12.59388    12.90969   -12.84681
  1  4    12.91048   -12.84524    12.86812   -12.59221    12.75198   -12.60558    12.79372   -12.85869
  1  5    12.79223   -12.85785    12.75094   -12.60637    12.63591   -12.61991    12.67659   -12.87136
  1  6    12.67703   -12.87444    12.63620   -12.62311    12.52045   -12.63711    12.56065   -12.88827
  1  7    12.56047   -12.88737    12.52026   -12.63501    12.40482   -12.64918    12.44438   -12.90125
  1  8    12.44459   -12.89952    12.40508   -12.64882    12.29086   -12.66312    12.32973   -12.91340
  1  9    12.32925   -12.91605    12.29006   -12.66281    12.17698   -12.67722    12.21550   -12.92989
  1 10    13.30375   -13.08281    13.26107   -12.82895    13.14590   -12.84182    13.18839   -13.09616
  1 11    13.18842   -13.09859    13.14570   -12.84255    13.03089   -12.85550    13.07338   -13.11189
  1 12    13.07078   -13.10983    13.02872   -12.85748    12.91412   -12.87065    12.95592   -13.12319
  1 13    12.95542   -13.12387    12.91329   -12.86849    12.79702   -12.88193    12.83888   -13.13738
  1 14    12.83966   -13.14072    12.79737   -12.88279    12.68078   -12.89638    12.72277   -13.15424
  1 15    12.72186   -13.15382    12.68015   -12.89733    12.56532   -12.91090    12.60671   -13.16718
  1 16    12.60469   -13.16310    12.56387   -12.91020    12.44935   -12.92390    12.48986   -13.17648
  1 17    12.49078   -13.17953    12.44982   -12.92456    12.33353   -12.93851    12.37414   -13.19300
  1 18    12.37383   -13.19253    12.33363   -12.93901    12.21889   -12.95281    12.25873   -13.20572
  1 19    13.18924   -13.10018    13.23147   -13.35891    13.34698   -13.34500    13.30484   -13.08673
  1 20    13.07574   -13.11331    13.11767   -13.36961    13.23121   -13.35609    13.18936   -13.10010
  1 21    12.95669   -13.12692    12.99906   -13.38584    13.11564   -13.37214    13.07335   -13.11342
  1 22    12.83969   -13.14346    12.88116   -13.39745    12.99628   -13.38392    12.95484   -13.12996
  1 23    12.72288   -13.15488    12.76454   -13.40940    12.88162   -13.39594    12.83997   -13.14131
  1 24    12.60630   -13.16822    12.64812   -13.42190    12.76491   -13.40844    12.72309   -13.15453
  1 25    12.49064   -13.18190    12.53244   -13.43704    12.64905   -13.42389    12.60721   -13.16838
  1 26    12.37580   -13.19581    12.41741   -13.44831    12.53159   -13.43544    12.48991   -13.18245
  1 27    12.25992   -13.20899    12.30121   -13.46129    12.41618   -13.44866    12.37481   -13.19573
  1 28    13.23525   -13.37891    13.27615   -13.63637    13.39067   -13.62206    13.35016   -13.36500
  1 29    13.12026   -13.39410    13.16102   -13.64973    13.27536   -13.63580    13.23495   -13.38039
  1 30    13.00125   -13.40684    13.04248   -13.66209    13.15970   -13.64811    13.11885   -13.39299
  1 31    12.88497   -13.42084    12.92671   -13.67678    13.04352   -13.66311    13.00214   -13.40716
  1 32    12.76910   -13.43437    12.81098   -13.68886    12.92707   -13.67559    12.88554   -13.42099
  1 33    12.65297   -13.44899    12.69490   -13.70111    12.81092   -13.68810    12.76932   -13.43574
  1 34    12.53624   -13.46076    12.57906   -13.71616    12.69483   -13.70346    12.65230   -13.44766
  1 35    12.42079   -13.47365    12.46331   -13.72607    12.57834   -13.71381    12.53607   -13.46088
  1 36    12.30586   -13.48749    12.34753   -13.73352    12.46219   -13.72165    12.42075   -13.47501
  2  1    12.22389   -12.90738    12.18308   -12.65399    12.06895   -12.66530    12.10927   -12.91919
  2  2    12.10899   -12.91966    12.06861   -12.66520    11.95424   -12.67683    11.99409   -12.93165
  2  3    11.99405   -12.93155    11.95463   -12.67868    11.84050   -12.69063    11.87945   -12.94383
  2  4    11.87827   -12.94253    11.83923   -12.68897    11.72401   -12.70130    11.76246   -12.95498
  2  5    11.76158   -12.95625    11.72297   -12.70078    11.60972   -12.71305    11.64772   -12.96849
  2  6    11.64539   -12.96504    11.60776   -12.71304    11.49342   -12.72584    11.53043   -12.97768
  2  7    11.53107   -12.98152    11.49412   -12.72907    11.37933   -12.74203    11.41565   -12.99420
  2  8    11.41559   -12.99331    11.37900   -12.73940    11.26520   -12.75265    11.30114   -13.00614
  2  9    11.29942   -13.00585    11.26378   -12.75441    11.15168   -12.76768    11.18669   -13.01858
  2 10    12.26653   -13.18209    12.22740   -12.92964    12.11277   -12.94146    12.15171   -13.19439
  2 11    12.15205   -13.19730    12.11245   -12.93954    11.99765   -12.95148    12.03702   -13.20959
  2 12    12.03468   -13.20745    11.99547   -12.95182    11.88278   -12.96379    11.92174   -13.21964
  2 13    11.91995   -13.22259    11.88092   -12.96553    11.76613   -12.97778    11.80491   -13.23493
  2 14    11.80385   -13.23228    11.76522   -12.97629    11.64971   -12.98884    11.68805   -13.24477
  2 15    11.68792   -13.24388    11.65023   -12.99182    11.53451   -13.00439    11.57189   -13.25625
  2 16    11.57087   -13.25793    11.53288   -13.00208    11.41875   -13.01478    11.45642   -13.27029
  2 17    11.45588   -13.26902    11.41824   -13.01409    11.30383   -13.02688    11.34114   -13.28134
  2 18    11.34140   -13.28439    11.30410   -13.02805    11.19023   -13.04082    11.22727   -13.29665
  2 19    12.15244   -13.19884    12.19061   -13.45345    12.30334   -13.44088    12.26525   -13.18672
  2 20    12.03756   -13.21105    12.07622   -13.46765    12.19087   -13.45498    12.15229   -13.19871
  2 21    11.92177   -13.22471    11.95963   -13.47638    12.07392   -13.46388    12.03612   -13.21239
