# field,g_lim,i_lim
3.010000000000000000e+02,2.582745361328125000e+01,2.478715896606445312e+01
3.020000000000000000e+02,2.605063438415527344e+01,2.498504066467285156e+01
3.030000000000000000e+02,2.604028320312500000e+01,2.467880439758300781e+01
3.040000000000000000e+02,2.585314178466796875e+01,2.485231208801269531e+01
3.050000000000000000e+02,2.620706367492675781e+01,2.464398765563964844e+01
3.060000000000000000e+02,2.582633972167968750e+01,2.497576713562011719e+01
3.070000000000000000e+02,2.600181579589843750e+01,2.488142967224121094e+01
3.080000000000000000e+02,2.615374565124511719e+01,2.488549613952636719e+01
3.090000000000000000e+02,2.603077888488769531e+01,2.467894172668457031e+01
3.100000000000000000e+02,2.581392288208007812e+01,2.474616241455078125e+01
3.110000000000000000e+02,2.594660377502441406e+01,2.491828727722167969e+01
3.120000000000000000e+02,2.567794609069824219e+01,2.479342079162597656e+01
3.130000000000000000e+02,2.607022857666015625e+01,2.493166351318359375e+01
3.140000000000000000e+02,2.625795364379882812e+01,2.480296516418457031e+01
3.150000000000000000e+02,2.607971191406250000e+01,2.493856239318847656e+01
3.160000000000000000e+02,2.613055992126464844e+01,2.484124374389648438e+01
3.170000000000000000e+02,2.601086616516113281e+01,2.495636940002441406e+01
3.180000000000000000e+02,2.595502662658691406e+01,2.491650581359863281e+01
3.190000000000000000e+02,2.599058341979980469e+01,2.468620109558105469e+01
3.200000000000000000e+02,2.610034370422363281e+01,2.483363533020019531e+01
3.210000000000000000e+02,2.595163345336914062e+01,2.471442222595214844e+01
3.220000000000000000e+02,2.594201278686523438e+01,2.475826644897460938e+01
3.230000000000000000e+02,2.612110900878906250e+01,2.501416397094726562e+01
3.240000000000000000e+02,2.582254219055175781e+01,2.511377716064453125e+01
3.250000000000000000e+02,2.591303634643554688e+01,2.471137237548828125e+01
3.260000000000000000e+02,2.628088951110839844e+01,2.482862663269042969e+01
3.270000000000000000e+02,2.604791831970214844e+01,2.479743194580078125e+01
3.280000000000000000e+02,2.606484222412109375e+01,2.479725646972656250e+01
3.290000000000000000e+02,2.616187095642089844e+01,2.479037094116210938e+01
3.300000000000000000e+02,2.625073432922363281e+01,2.484644126892089844e+01
3.310000000000000000e+02,2.636274909973144531e+01,2.485334205627441406e+01
3.320000000000000000e+02,2.618658256530761719e+01,2.479904556274414062e+01
3.330000000000000000e+02,2.614746475219726562e+01,2.486362457275390625e+01
3.340000000000000000e+02,2.612375450134277344e+01,2.484950447082519531e+01
3.350000000000000000e+02,2.599381065368652344e+01,2.485780525207519531e+01
3.360000000000000000e+02,2.630256462097167969e+01,2.496595001220703125e+01
3.370000000000000000e+02,2.601179885864257812e+01,2.491506767272949219e+01
3.380000000000000000e+02,2.599169731140136719e+01,2.497287178039550781e+01
3.390000000000000000e+02,2.606165695190429688e+01,2.483136367797851562e+01
3.400000000000000000e+02,2.603172302246093750e+01,2.479977226257324219e+01
3.410000000000000000e+02,2.606632423400878906e+01,2.490373802185058594e+01
3.420000000000000000e+02,2.579339218139648438e+01,2.527856254577636719e+01
3.430000000000000000e+02,2.582902717590332031e+01,2.493629455566406250e+01
3.440000000000000000e+02,2.577132797241210938e+01,2.498153305053710938e+01
3.450000000000000000e+02,2.611746978759765625e+01,2.486173248291015625e+01
3.460000000000000000e+02,2.611709213256835938e+01,2.496100234985351562e+01
3.470000000000000000e+02,2.612932586669921875e+01,2.495509910583496094e+01
3.480000000000000000e+02,2.568887710571289062e+01,2.475868415832519531e+01
3.490000000000000000e+02,2.605066680908203125e+01,2.491399765014648438e+01
3.500000000000000000e+02,2.630274772644042969e+01,2.473260498046875000e+01
3.510000000000000000e+02,2.586206245422363281e+01,2.482042503356933594e+01
3.520000000000000000e+02,2.608568191528320312e+01,2.468128776550292969e+01
3.530000000000000000e+02,2.596596145629882812e+01,2.482307434082031250e+01
3.540000000000000000e+02,2.594165039062500000e+01,2.456852531433105469e+01
3.550000000000000000e+02,2.584362602233886719e+01,2.480158042907714844e+01
3.560000000000000000e+02,2.593782997131347656e+01,2.480602645874023438e+01
3.570000000000000000e+02,2.589298248291015625e+01,2.485871505737304688e+01
3.580000000000000000e+02,2.618417930603027344e+01,2.472892570495605469e+01
3.590000000000000000e+02,2.594771003723144531e+01,2.508426284790039062e+01
3.600000000000000000e+02,2.601020240783691406e+01,2.513418006896972656e+01
3.610000000000000000e+02,2.596529960632324219e+01,2.504184341430664062e+01
3.620000000000000000e+02,2.577321624755859375e+01,2.476915740966796875e+01
3.630000000000000000e+02,2.608248329162597656e+01,2.491389274597167969e+01
3.640000000000000000e+02,2.600731658935546875e+01,2.494781112670898438e+01
3.650000000000000000e+02,2.617614746093750000e+01,2.488571739196777344e+01
3.660000000000000000e+02,2.579742240905761719e+01,2.497497558593750000e+01
3.670000000000000000e+02,2.590322685241699219e+01,2.495322990417480469e+01
3.680000000000000000e+02,2.569767951965332031e+01,2.501891136169433594e+01
3.690000000000000000e+02,2.590667152404785156e+01,2.471672058105468750e+01
3.700000000000000000e+02,2.565858840942382812e+01,2.497041702270507812e+01
3.710000000000000000e+02,2.578012084960937500e+01,2.474291229248046875e+01
3.720000000000000000e+02,2.557963371276855469e+01,2.499958992004394531e+01
3.730000000000000000e+02,2.563014030456542969e+01,2.472600936889648438e+01
3.740000000000000000e+02,2.608267402648925781e+01,2.503613090515136719e+01
3.750000000000000000e+02,2.590923500061035156e+01,2.500282859802246094e+01
3.760000000000000000e+02,2.612353324890136719e+01,2.499672126770019531e+01
3.770000000000000000e+02,2.606052398681640625e+01,2.515733337402343750e+01
3.780000000000000000e+02,2.554404449462890625e+01,2.512839889526367188e+01
3.790000000000000000e+02,2.589836692810058594e+01,2.491732025146484375e+01
3.800000000000000000e+02,2.613765144348144531e+01,2.487254333496093750e+01
3.810000000000000000e+02,2.582071113586425781e+01,2.503704643249511719e+01
3.820000000000000000e+02,2.607297706604003906e+01,2.475144958496093750e+01
3.830000000000000000e+02,2.611425399780273438e+01,2.463639450073242188e+01
3.840000000000000000e+02,2.604181671142578125e+01,2.485843658447265625e+01
3.850000000000000000e+02,2.589165496826171875e+01,2.489188385009765625e+01
3.860000000000000000e+02,2.571004104614257812e+01,2.487645530700683594e+01
3.870000000000000000e+02,2.595208549499511719e+01,2.486375617980957031e+01
